Time,Temperature,DewPoint,WindDirection,Humidity,Pressure,WindSpeed
06:00,77,57.0,SE,50,26.94,13.0
06:30,79,57.0,SE,47,26.91,10.0
07:00,79,57.0,ESE,47,26.91,12.0
07:30,79,57.0,ESE,47,26.89,9.0
08:00,81,57.0,ESE,45,26.89,8.0
08:30,81,57.0,ESE,45,26.86,9.0
09:00,81,57.0,E,45,26.83,9.0
09:30,81,57.0,SE,45,26.83,9.0
10:00,81,57.0,SE,45,26.83,8.0
10:30,81,57.0,ESE,45,26.83,9.0
11:00,81,55.0,SE,42,26.83,10.0
11:30,79,57.0,SE,47,26.83,13.0
12:00,77,57.0,SE,50,26.86,10.0
12:30,75,57.0,SE,53,26.86,9.0
13:00,73,57.0,SE,57,26.89,9.0
13:30,73,59.0,SSE,61,26.89,9.0
14:00,72,61.0,SE,69,26.91,12.0
14:30,70,61.0,SE,73,26.91,9.0
15:00,70,63.0,SE,78,26.94,9.0
15:30,70,63.0,SSE,78,26.94,10.0
16:00,68,63.0,SE,83,26.94,7.0
16:30,68,63.0,SE,83,26.94,7.0
17:00,66,61.0,SE,83,26.97,6.0
17:30,66,61.0,ESE,83,26.94,6.0
06:00,75,54.0,ESE,47,26.99,10.0
06:30,75,52.0,E,44,26.97,12.0
07:00,77,52.0,E,41,26.94,9.0
07:30,77,52.0,E,41,26.94,10.0
08:00,77,52.0,E,41,26.91,12.0
08:30,77,50.0,ENE,39,26.91,12.0
09:00,79,50.0,ENE,36,26.89,12.0
09:30,79,50.0,E,36,26.89,9.0
10:00,79,50.0,ENE,36,26.89,10.0
10:30,79,48.0,NE,34,26.89,10.0
11:00,79,50.0,NE,36,26.89,8.0
11:30,77,50.0,E,39,26.91,9.0
12:00,77,52.0,ENE,41,26.91,7.0
12:30,75,52.0,E,44,26.91,6.0
13:00,73,52.0,ENE,47,26.94,5.0
13:30,72,52.0,VAR,50,26.94,3.0
14:00,70,54.0,VAR,56,26.97,3.0
14:30,68,55.0,SE,64,26.97,5.0
15:00,68,54.0,VAR,60,26.97,3.0
15:30,66,54.0,VAR,64,26.99,2.0
16:00,66,54.0,VAR,64,26.99,2.0
16:30,64,55.0,VAR,73,26.99,3.0
