Temperature,Dewpoint,WindDirection,Humidity,pressure,WindSpeed
68,63,SSE,83,26.91,6
66,63,S,88,26.91,5
66,63,SE,88,26.89,5
66,63,SE,88,26.89,5
66,63,VAR,88,26.89,2
66,63,VAR,88,26.86,3
64,63,VAR,94,26.86,3
64,63,VAR,94,26.86,2
63,61,S,94,26.89,3
63,63,VAR,100,26.91,1
66,64,SE,94,26.94,5
68,64,SE,88,26.94,6
70,63,ESE,78,26.97,6
72,61,ESE,69,26.97,10
73,59,ESE,61,26.97,13
75,59,SE,57,26.97,13
77,57,ESE,50,26.94,13
77,57,SE,50,26.94,13
79,57,SE,47,26.91,10
79,57,ESE,47,26.91,12
79,57,ESE,47,26.89,9
81,57,ESE,45,26.89,8
81,57,ESE,45,26.86,9
81,57,E,45,26.83,9
81,57,SE,45,26.83,9
81,57,SE,45,26.83,8
81,57,ESE,45,26.83,9
81,55,SE,42,26.83,10
79,57,SE,47,26.83,13
77,57,SE,50,26.86,10
75,57,SE,53,26.86,9
73,57,SE,57,26.89,9
73,59,SSE,61,26.89,9
72,61,SE,69,26.91,12
70,61,SE,73,26.91,9
70,63,SE,78,26.94,9
70,63,SSE,78,26.94,10
68,63,SE,83,26.94,7
68,63,SE,83,26.94,7
66,61,SE,83,26.97,6
66,61,ESE,83,26.94,6
64,61,ESE,88,26.94,5
64,61,ESE,88,26.94,6
64,61,SE,88,26.94,5
63,61,SE,94,26.94,6
63,61,SE,94,26.91,6
63,61,SE,94,26.91,5
63,61,ESE,94,26.91,5
63,61,VAR,94,26.91,2
63,61,VAR,94,26.89,3
63,61,ESE,94,26.91,5
61,61,SE,100,26.91,5
61,61,ESE,100,26.91,6
61,59,SE,94,26.91,6
61,59,VAR,94,26.91,3
61,61,VAR,100,26.94,3
61,61,ESE,100,26.94,5
61,61,ESE,100,26.94,3
63,61,ESE,94,26.97,6
70,54,ESE,56,26.99,13
72,54,E,53,26.99,10
72,52,ESE,50,26.99,10
75,52,ESE,44,26.99,13
75,54,ESE,47,26.99,10
75,52,E,44,26.97,12
77,52,E,41,26.94,9
77,52,E,41,26.94,10
77,52,E,41,26.91,12
77,50,ENE,39,26.91,12
79,50,ENE,36,26.89,12
79,50,E,36,26.89,9
79,50,ENE,36,26.89,10
79,48,NE,34,26.89,10
79,50,NE,36,26.89,8
77,50,E,39,26.91,9
77,52,ENE,41,26.91,7
75,52,E,44,26.91,6
73,52,ENE,47,26.94,5
72,52,VAR,50,26.94,3
70,54,VAR,56,26.97,3
68,55,SE,64,26.97,5
68,54,VAR,60,26.97,3
66,54,VAR,64,26.99,2
66,54,VAR,64,26.99,2
64,55,VAR,73,26.99,3
64,55,VAR,73,26.99,3
64,55,VAR,73,26.99,1
61,55,VAR,82,26.99,1
61,57,VAR,88,26.97,2
61,57,VAR,88,26.97,2
61,59,VAR,94,26.97,2
61,59,VAR,94,26.94,1
61,59,VAR,94,26.94,1
68,61,SE,78,26.99,6
68,61,ESE,78,26.99,5
70,59,ESE,68,26.99,7
72,57,E,60,26.99,8
72,57,ENE,60,26.99,6
73,55,E,53,26.97,7
75,55,ESE,50,26.97,7
77,54,VAR,44,26.94,6
75,50,ENE,41,26.94,10
77,48,E,36,26.91,7
77,48,ENE,36,26.91,6
79,48,NE,34,26.89,7
79,50,VAR,36,26.89,6
79,50,E,36,26.89,6
79,52,E,39,26.89,5
79,52,NE,39,26.89,7
77,52,E,41,26.89,7
77,52,ENE,41,26.89,6
75,54,E,47,26.89,5
72,54,ENE,53,26.91,5
70,54,VAR,56,26.91,3
70,52,VAR,53,26.91,2
68,54,VAR,60,26.94,2
68,54,VAR,60,26.94,1
66,54,VAR,64,26.97,1
66,54,VAR,64,26.97,2
64,54,VAR,68,26.97,2
63,54,VAR,72,26.97,2
64,54,VAR,68,26.97,1
64,54,VAR,68,26.97,2
64,55,VAR,73,26.97,1
61,54,VAR,77,26.97,2
61,54,VAR,77,26.94,1
61,54,S,77,26.94,3
59,54,SW,82,26.94,5
57,54,VAR,88,26.91,1
57,54,VAR,88,26.91,1
55,54,S,94,26.91,5
52,52,VAR,100,26.91,2
52,52,VAR,100,26.91,1
55,55,VAR,100,26.94,2
